Census year,Block ID,CLUE_small_area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total_establishments_in_block
2015,1,Melbourne (CBD),0,4,0,1,3,0,0,2,2,10,1,0,0,4,0,0,1,3,1,0,32
2015,2,Melbourne (CBD),0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
2015,4,Melbourne (CBD),0,0,0,5,0,0,1,0,0,12,1,0,0,4,1,0,0,8,4,0,36
2015,5,Melbourne (CBD),0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,8,0,0,11
2015,6,Melbourne (CBD),0,3,0,6,0,0,0,0,0,16,0,1,0,2,2,2,1,6,6,0,45
2015,11,Melbourne (CBD),5,7,0,0,14,2,1,1,4,11,3,2,0,7,0,2,0,2,1,1,63
2015,12,Melbourne (CBD),3,5,0,3,12,1,7,2,7,22,3,2,0,10,1,2,0,4,2,0,86
2015,13,Melbourne (CBD),0,5,4,2,23,2,4,3,12,7,0,2,0,5,0,2,0,6,3,0,80
2015,14,Melbourne (CBD),3,19,2,1,64,3,10,0,16,27,10,4,1,31,1,7,0,22,1,1,223
2015,15,Melbourne (CBD),4,13,1,32,51,2,14,0,8,48,5,5,29,74,1,1,0,57,1,4,350
2015,16,Melbourne (CBD),2,5,0,3,20,0,3,0,4,13,1,1,0,5,0,4,0,10,0,2,73
2015,17,Melbourne (CBD),1,4,0,2,35,0,4,0,5,30,0,1,2,4,1,4,0,7,0,0,100
2015,18,Melbourne (CBD),3,3,0,1,13,2,1,0,9,12,2,2,2,5,2,4,0,2,2,0,65
2015,21,Melbourne (CBD),2,0,0,0,3,0,0,1,1,4,0,2,1,3,5,1,0,1,2,0,26
2015,22,Melbourne (CBD),1,16,1,3,53,8,2,3,23,19,2,2,2,12,4,3,0,6,8,0,168
2015,23,Melbourne (CBD),1,12,2,3,30,1,3,0,6,10,5,3,1,8,2,3,0,7,0,1,98
2015,24,Melbourne (CBD),0,16,4,2,47,4,4,2,45,28,4,4,3,6,1,7,0,11,5,4,197
2015,25,Melbourne (CBD),3,20,1,2,32,0,17,0,13,33,13,1,17,30,3,4,0,56,1,25,271
2015,26,Melbourne (CBD),1,0,2,1,16,1,0,2,6,12,8,1,0,5,0,2,0,13,0,1,71
2015,27,Melbourne (CBD),1,7,0,1,38,3,1,1,44,13,5,2,2,10,2,1,1,28,0,1,161
2015,28,Melbourne (CBD),1,8,1,0,27,5,1,0,23,24,29,2,1,11,6,4,0,28,1,1,173
2015,31,Melbourne (CBD),1,2,0,2,15,1,3,1,7,29,4,1,2,12,1,0,0,10,2,0,93
2015,32,Melbourne (CBD),2,20,9,0,86,2,3,3,35,22,7,3,4,13,5,5,0,5,4,2,230
